img_file,Image size (pixels),Aspect ratio,RMS contrast,Luminance entropy,Complexity,Edge density,Color entropy,mean R channel,mean G channel,mean B channel (RGB),mean L channel,mean a channel,mean b channel (Lab),mean H channel,mean S channel,mean V channel,std R channel,std G channel,std B channel,std L channel,std a channel,std b channel (Lab),std H channel,std S channel,std V channel,Mirror symmetry,DCM distance,DCM x position,DCM y position,Balance,CNN symmetry left-right,CNN symmetry up-down,CNN symmetry left-right & up-down,Slope Redies,Slope Spehar,Slope Mather,Fourier sigma,2D Fractal dimension,3D Fractal dimension,Self-similarity (PHOG),Self-similarity (CNN),Anisotropy,Homogeneity,1st-order EOE,2nd-order EOE,Sparseness,Variability
Rousseau4.jpg,1819,0.7764,20.499,7.5,7.429,84.356,6.729,122.945,130.722,114.092,53.014,-5.268,8.087,0.2764,0.2241,0.5367,55.301,51.547,45.094,20.499,8.686,10.537,0.1957,0.1446,0.2074,19.99,3.379,0.003145,-0.0166,11.212,0.4457,0.339,0.3355,-2.522,-1.252,-1.16,0.005509,1.348,2.499,0.5515,0.7562,0.0003586,93.825,4.374,4.486,0.0001903,2.376E-05
SS_1.1_rep20.jpg,1024,1,15.137,7.254,14.546,115.173,0,127.501,127.501,127.501,52.964,-0.001459,0.002766,0,0,0.5,38.188,38.188,38.188,15.137,0.0003215,0.0006095,0,0,0.1498,24.726,6.641,-0.0332,0,5.162,0.7624,0.7718,0.7557,-2.313,-1.114,-1.092,0.01586,1.721,2.668,0.953,0.9292,6.956E-05,97.843,4.581,4.569,0.0001126,2.535E-06
Courbet10.jpg,1855,1.232,6.461,6.345,4.163,34.133,5.229,154.216,152.877,140.143,62.902,-1.814,6.882,0.1798,0.103,0.6123,19.149,16.712,16.094,6.461,2.021,3.054,0.08009,0.04942,0.06998,31.097,3.923,-0.01953,-0.001805,7.701,0.6648,0.5457,0.527,-2.314,-1.001,-1.119,0.002975,1.595,2.641,0.8322,0.8366,0.0002402,95.196,3.562,4.076,0.000114,7.757E-06
Steen7.jpg,1821,1.285,13.062,6.965,6.277,77.663,4.325,99.219,73.092,47.511,32.935,7.727,19.437,0.08531,0.5107,0.3893,37.416,30.552,24.254,13.062,5.64,8.159,0.02571,0.1354,0.1465,58.232,6.251,0.03125,-0.0006274,8.133,0.4984,0.4632,0.4564,-2.604,-1.347,-1.273,0.00215,1.536,2.523,0.7369,0.8168,0.0003224,95.912,4.372,4.46,0.0001604,1.464E-05
38151.jpg,973,1.71,20.632,6.074,22.798,228.565,0,43.895,43.895,43.895,17.982,-0.0005886,0.001116,0,0,0.1721,49.913,49.913,49.913,20.632,0.0005569,0.001056,0,0,0.1957,74.495,14.603,-0.03746,0.06267,18.915,0.5844,0.4198,0.41,-0.9663,-1.012,-0.2883,0.2413,1.781,3.032,0.5356,0.851,0.001063,93.788,3.088,3.533,0.0002486,1.401E-05
VanGogh20.jpg,1529,2.028,19.344,7.525,17.989,177.62,6.483,131.33,131.054,99.135,53.795,-3.103,16.704,0.2119,0.4326,0.5838,55.689,49,48.782,19.344,9.858,24.272,0.2081,0.2169,0.1891,12.446,3.564,-0.005859,0.01683,19.708,0.5986,0.5582,0.5483,-2.033,-1.321,-1.095,0.01994,1.733,2.739,0.779,0.872,0.0003485,98.885,4.419,4.528,0.0001049,1.113E-05
3804.jpg,1120,1.333,14.524,6.766,5.601,65.369,0,150.064,150.064,150.064,61.741,-0.001645,0.003119,0,0,0.5885,36.812,36.812,36.812,14.524,0.0003074,0.0005826,0,0,0.1444,5.655,3.953,0.00625,0.01875,11.875,0.4899,0.302,0.3039,-2.551,-1.431,-1.186,0.05145,1.482,2.534,0.5886,0.8228,0.000582,93.923,4.448,4.449,0.000355,1.942E-05
33821.jpg,1166,1.217,22.191,7.388,4.879,69.911,2.855,126.795,126.024,124.43,52.008,0.01243,0.9887,0.1438,0.05305,0.5,55.045,56.951,56.497,22.191,1.386,0.4751,0.1316,0.1,0.2176,49.263,16.558,0.02187,0.07985,14.641,0.5225,0.3678,0.3497,-2.875,-1.304,-1.348,0.01084,1.22,2.367,0.6009,0.7322,0.0007965,87.603,3.312,3.818,0.0002332,2.074E-05
Monet1.jpg,1824,1.28,9.603,6.609,7.126,51.33,6.585,130.679,158.393,144.903,62.841,-11.7629,3.79,0.4226,0.2477,0.6379,31.305,24.879,27.806,9.603,4.518,14.17,0.1252,0.105,0.09462,13.451,8.642,0.007812,-0.0425,8.178,0.5629,0.5403,0.5816,-2.304,-0.9808,-1.051,0.002509,1.585,2.636,0.7997,0.8287,0.0002533,88.518,4.143,4.438,0.0001269,8.616E-06
34102.jpg,1120,1.333,18.424,7.401,3.963,71.888,5.054,197.912,171.179,137.312,71.217,5.224,21.236,0.0939,0.3337,0.7779,46.824,50.276,54.09,18.424,8.245,10.26,0.03907,0.1782,0.1829,15.51,10.035,-0.0375,-0.03333,15.761,0.3507,0.2995,0.2423,-3.172,-1.514,-1.524,0.00271,1.238,2.362,0.5061,0.6661,0.000609,97.52,4.523,4.48,0.0004581,2.099E-05
36879.jpg,1280,1,16.527,7.211,3.76,65.943,5.3,135.328,129.898,124.651,54.241,1.519,3.86,0.09029,0.1667,0.5528,39.594,42.699,49.309,16.527,3.855,10.441,0.1162,0.09752,0.1814,17,1.127,-0.004687,-0.003125,2.513,0.3867,0.3568,0.3605,-3.289,-1.554,-1.767,0.01666,1.201,2.311,0.6204,0.742,0.0007509,98.871,4.29,4.251,0.0002494,4.102E-05
