img_file,Image size (pixels),Aspect ratio,RMS contrast,Luminance entropy,Complexity,Edge density,Color entropy,mean R channel,mean G channel,mean B channel (RGB),mean L channel,mean a channel,mean b channel (Lab),mean H channel,mean S channel,mean V channel,std R channel,std G channel,std B channel,std L channel,std a channel,std b channel (Lab),std H channel,std S channel,std V channel,Mirror symmetry,DCM distance,DCM x position,DCM y position,Balance,CNN symmetry left-right,CNN symmetry up-down,CNN symmetry left-right & up-down,Slope Redies,Slope Spehar,Slope Mather,Fourier sigma,2D Fractal dimension,3D Fractal dimension,Self-similarity (PHOG),Self-similarity (CNN),Anisotropy,Homogeneity,1st-order EOE,2nd-order EOE,Sparseness,Variability
Arcimboldo2.jpg,1176,0.7243,14.796,6.841,8.579,67.283,5.766,50.991,38.606,27.841,16.354,3.803,8.582,0.03295,0.419,0.2033,42.398,32.062,19.836,14.796,6.683,10.591,0.1388,0.1764,0.1653,57.343,16.76,-0.006073,-0.08358,20.815,0.4978,0.445,0.4866,-2.364,-1.198,-1.206,0.005433,1.473,2.548,0.6859,0.8149,0.0003555,91.345,4.467,4.528,0.0001208,1.572E-05
35946.jpg,747,1.334,23.843,7.155,5.758,56.866,0.8873,107.623,107.782,107.596,44.444,-0.1037,0.08754,0.01534,0.004226,0.4228,61.228,61.202,61.23,23.843,0.334,0.328,0.101,0.0172,0.24,60.834,9.121,0.01288,-0.04375,10.012,0.3159,0.2773,0.2334,-2.941,-1.352,-1.353,0.04216,1.151,2.402,0.5153,0.7218,0.0006769,87.458,3.898,4.029,0.0002501,2.4E-05
Saenredam4.jpg,1218,0.7833,21.437,7.268,6.046,57.448,5.495,174.714,172.902,151.858,69.649,-2.744,11.463,0.1954,0.1779,0.6963,52.35,56.806,63.955,21.437,1.797,7.708,0.07994,0.1357,0.2117,18.937,27.136,-0.0215,-0.134,25.545,0.4627,0.3721,0.329,-2.737,-1.247,-1.286,0.009862,1.43,2.529,0.6438,0.7664,0.000287,90.243,4.085,4.366,0.0002604,1.692E-05
SS_0.3_rep2.jpg,682,1,10.539,6.773,23.889,97.027,0,127.5,127.5,127.5,53.186,-0.001464,0.002775,0,0,0.5,26.729,26.729,26.729,10.539,0.0002231,0.0004228,0,0,0.1048,24.864,0.9274,-0.004399,-0.001466,0.2754,0.7974,0.7996,0.7972,-1.283,-0.3647,-0.2893,0.3375,1.975,2.908,0.9668,0.9367,7.265E-05,99.989,4.582,4.578,0.0001055,1.533E-06
SS_2.5_rep20.jpg,682,1,14.763,7.075,1.055,16.141,0,127.505,127.505,127.505,53.008,-0.00146,0.002768,0,0,0.5,38.266,38.266,38.266,14.763,0.0003124,0.0005922,0,0,0.1501,49.788,8.263,-0.01906,0.03666,8.019,0.5713,0.4707,0.4335,-3.029,-1.471,-1.505,0.03969,0.8529,2.125,0.5107,0.7414,0.0011,82.591,4.033,3.089,0.0006841,3.594E-06
5008.jpg,747,0.7494,19.253,7.558,19.689,144.8,6.814,127.628,135.956,105.05,54.813,-7.632,14.632,0.2607,0.2995,0.5462,49.095,48.861,58.631,19.253,7.01,19.807,0.1786,0.2401,0.1992,24.796,10.684,-0.03125,-0.04333,13.508,0.5776,0.5523,0.532,-2.577,-1.119,-1.205,0.05966,1.736,2.716,0.8314,0.8416,0.0003653,97.057,3.701,4.187,0.0001139,9.42E-06
VanGogh10.jpg,1356,1.015,11.077,6.858,12.449,88.795,5.644,137.173,153.144,105.15,60.841,-13.9458,23.315,0.2273,0.3345,0.6053,33.399,28.308,34.205,11.077,6.791,11.296,0.06794,0.1378,0.1106,28.022,2.529,-0.01245,-0.002229,1.88,0.6045,0.6018,0.6015,-1.977,-0.9829,-0.9464,0.001175,1.779,2.668,0.8497,0.8493,0.0002096,98.206,4.512,4.554,9.392E-05,8.16E-06
43872.jpg,665,1.301,21.322,7.43,9.985,88.578,6.497,72.678,81.7,63.918,32.569,-6.737,9.303,0.2982,0.3984,0.3291,55.836,51.237,51.465,21.322,3.49,9.354,0.1412,0.228,0.2082,52.716,14.551,0.03457,0.06401,18.533,0.5363,0.5003,0.4613,-3.363,-1.501,-1.306,0.1887,1.437,2.588,0.64,0.7844,0.0006076,91.463,4.141,4.235,0.0001637,1.188E-05
487.jpg,747,1.334,10.432,2.771,1.526,14.28,1.94,9.845,9.584,8.711,3.078,-0.01019,0.4135,0.05386,0.1412,0.03911,26.838,26.14,26.128,10.432,1.085,1.071,0.1006,0.1969,0.1053,97.898,40.492,-0.1393,-0.1469,36.625,0.3996,0.3814,0.3882,-3.483,-1.502,-1.444,0.04114,1.08,2.805,0.4717,0.4827,0.0003799,35.47,3.576,4.014,0.0003474,7.441E-06
SS_2.25_rep8.jpg,682,1,14.898,7.087,0.9844,14.742,0,127.519,127.519,127.519,53,-0.00146,0.002768,0,0,0.5001,38.267,38.267,38.267,14.898,0.0003153,0.0005976,0,0,0.1501,46.961,9.32,0.01906,0.04252,8.608,0.6038,0.5023,0.4393,-3.147,-1.509,-1.494,0.03344,0.784,2.145,0.5467,0.7588,0.001016,85.889,3.964,3.284,0.0006557,4.265E-06
Magnasco3.jpg,1133,1.518,17.57,7.487,8.351,80.346,4.564,106.912,84.824,61.127,37.071,5.86,17.155,0.08534,0.4456,0.4209,45.587,42.575,33.606,17.57,4.105,7.454,0.04066,0.1015,0.1808,42.262,18.862,-0.0593,0.07333,19.565,0.5238,0.5426,0.5011,-2.513,-1.176,-1.229,0.002572,1.512,2.658,0.7859,0.8455,0.0003615,90.676,4.073,4.363,0.0001355,1.27E-05
Gerard1.jpg,1219,0.7848,26.612,7.776,4.177,54.777,6.174,106.985,92.19,66.031,38.806,2.697,16.901,0.1387,0.4781,0.4359,68.253,65.533,52.285,26.612,10.988,11.352,0.1055,0.2337,0.2731,34.629,23.866,0.01866,0.1179,12.757,0.4337,0.3343,0.3061,-3.065,-1.575,-1.521,0.003907,1.11,2.387,0.6392,0.7663,0.0005147,91.586,4.075,4.267,0.0002992,2.843E-05
4398.jpg,747,1.334,15.297,6.786,6.096,49.009,6.251,151.454,148.655,144.844,61.429,0.8438,2.795,0.2116,0.1355,0.6228,33.996,40.687,47.579,15.297,6.087,8.586,0.2997,0.1328,0.1527,8.843,9.184,-0.0363,0.02813,12.674,0.3009,0.2876,0.2489,-2.679,-1.263,-1.175,0.08367,1.304,2.627,0.4828,0.6974,0.0006131,86.519,3.493,3.933,0.0003539,1.986E-05
Renoir29.jpg,1165,0.7057,17.531,7.227,7.768,73.059,5.901,98.3,72.034,69.533,32.771,10.658,5.914,0.9956,0.2776,0.3883,53.927,38.498,37.572,17.531,9.66,8.173,0.1127,0.1483,0.2101,29.468,16.965,-0.01037,0.08419,7,0.577,0.4659,0.444,-2.621,-1.298,-1.258,0.002875,1.387,2.473,0.7874,0.7863,0.0004337,94.625,4.499,4.487,0.0001451,1.672E-05
Munnichhoven1.jpg,1255,0.8375,22.947,7.711,8.531,97.417,6.322,102.804,107.458,101.266,44.072,-1.723,3.329,0.2132,0.2546,0.4519,61.921,57.882,57.926,22.947,4.938,9.735,0.207,0.2159,0.2272,55.005,7.379,-0.03671,-0.00366,12.407,0.4465,0.4024,0.4241,-2.83,-1.396,-1.359,0.002074,1.477,2.486,0.7714,0.815,0.0002763,90.031,4.537,4.473,0.0001456,1.754E-05
33369.jpg,750,0.816,32.566,4.673,5.426,57.046,0,203.942,203.942,203.942,80.433,-0.002037,0.00386,0,0,0.7998,83.848,83.848,83.848,32.566,0.0006998,0.001327,0,0,0.3288,8.964,44.16,0.1202,-0.1852,46.984,0.3509,0.1365,0.1082,-3.063,-1.425,-1.478,0.03849,1.184,2.498,0.2606,0.4663,0.001254,81.241,4.015,3.975,0.001015,2.042E-05
43613.jpg,817,0.9133,14.911,7.087,15.534,112.926,6.661,143.786,71.184,98.349,41.337,32.824,0.553,0.9431,0.6232,0.571,34.27,48.477,57.168,14.911,17.826,24.135,0.1062,0.2131,0.1414,54.814,10.251,-0.01795,0.04801,5.147,0.5691,0.5224,0.5262,-2.396,-1.038,-0.9445,0.1178,1.632,2.68,0.7885,0.8499,0.0003011,94.425,4.559,4.541,0.0001269,1.173E-05
VanGogh24.jpg,1108,0.6223,15.293,7.16,14.168,98.583,5.528,153.079,146.265,97.769,59.912,-4.241,26.238,0.1612,0.3956,0.6143,43.051,39.142,39.599,15.293,5.145,15.746,0.09185,0.1882,0.1559,7.672,9.2,0.02471,0.0388,13.178,0.6046,0.5295,0.5413,-2.255,-1.163,-0.9939,0.001964,1.586,2.679,0.7842,0.8505,0.0002636,91.736,4.562,4.551,8.153E-05,9.102E-06
Constable53.jpg,1052,1.851,17.583,7.47,7.481,66.911,5.673,108.042,105.534,86.384,43.821,-1.885,11.521,0.1617,0.3036,0.44,41.682,42.91,52.125,17.583,3.54,11.811,0.1179,0.208,0.1735,21.898,16.79,0.02562,0.07995,23.516,0.5271,0.4261,0.4211,-2.486,-1.302,-1.232,0.001805,1.24,2.567,0.6663,0.8278,0.0002924,94.537,4.244,4.443,0.0001442,1.532E-05
Tintoretto17.jpg,1101,0.612,17.182,7.056,10.582,82.833,5.843,64.992,49.283,45.331,21.51,6.458,4.752,0.9148,0.2976,0.2638,53.487,37.02,25.555,17.182,7.484,10.921,0.2005,0.1588,0.2044,66.208,0.9681,-0.004785,-0.0007321,17.457,0.4653,0.4361,0.4079,-2.63,-1.245,-1.306,0.003394,1.441,2.615,0.8218,0.8259,0.0002454,93.099,4.541,4.496,0.0001236,1.843E-05
