img_file,Image size (pixels),Aspect ratio,RMS contrast,Luminance entropy,Edge density,Complexity,Color entropy,mean R channel,mean G channel,mean (RG)B channel,mean L channel,mean A channel,mean (LA)B channel,mean H channel,mean S channel,mean V channel,std R channel,std G channel,std (RG)B channel,std L channel,std A channel,std (LA)B channel,std H channel,std S channel,std V channel,Mirror symmetry,DCM,Balance,left-right,up-down,left-right & up-down,2-dimensional,3-dimensional,Slope,Sigma,PHOG-based,CNN-based,Anisotropy,Homogeneity,1st-order,2nd-order,Sparseness,Variability,
random_5582.jpg,927,1.505,28.061,10.708,179.528,27.831,7.069,26.153,44.254,28.888,16.039,-8.627,6.195,0.2739,0.5925,0.1779,56.021,74.019,59.469,28.061,14.605,11.447,0.2231,0.414,0.2886,74.124,25.953,24.404,0.5215,0.5293,0.4482,2.64,1.651,-1.862,0.001945,0.6933,0.8764,0.000436,93.476,4.377,4.53,0.0001474,1.323e-05,
random_5616.jpg,950,1.533,9.183,10.25,30.444,3.205,7.62,188.292,177.297,38.23,71.291,-10.3928,65.867,0.1556,0.8009,0.7404,9.914,32.056,19.428,9.183,13.089,5.678,0.02459,0.1002,0.03945,0.7608,7.398,14.395,0.4831,0.5729,0.4474,2.443,1.271,-4.144,0.03668,0.4953,0.6135,0.0003574,66.345,4.428,4.477,0.0005411,9.473e-06,
random_5621.jpg,1167,0.7061,9.118,10.967,44.822,7.583,6.47,22.788,22.416,42.053,9.757,5.989,-12.0095,0.7064,0.4395,0.1652,21.983,21.897,25.489,9.118,6.321,10.612,0.1429,0.3616,0.09992,32.848,31.766,24.422,0.5316,0.5006,0.5003,2.79,1.684,-2.022,0.001701,0.7282,0.8661,0.0003561,95.556,4.554,4.558,0.0001948,1.247e-05,
random_5650.jpg,1330,1.509,24.31,15.349,38.093,7.147,10.034,133.147,157.023,160.728,62.197,-7.212,-3.997,0.5127,0.2448,0.6613,53.767,63.817,78.387,24.31,7.53,12.414,0.145,0.1162,0.2696,16.977,30.421,14.944,0.6982,0.4287,0.424,2.778,1.516,-1.956,0.01304,0.6409,0.7598,0.0002904,82.945,4.269,4.435,0.0002056,7.787e-06,
random_5710.jpg,1041,0.7795,14.485,11.435,36.81,4.552,7.754,77.245,93.442,105.144,38.705,-1.114,-8.863,0.5199,0.4116,0.437,52.58,33.548,16.237,14.485,2.094,12.881,0.232,0.288,0.09977,35.408,19.381,7.155,0.5251,0.3697,0.3474,2.558,1.294,-2.584,0.01175,0.6897,0.7596,0.0003292,86.545,4.141,4.393,0.0002339,1.108e-05,
random_5732.jpg,1062,1.082,30.774,13.686,54.982,7.402,9.883,127.045,111.586,86.073,46.218,3.021,15.529,0.07951,0.4071,0.5104,80.408,79.093,61.058,30.774,5.847,15.952,0.1603,0.1646,0.3002,57.786,23.877,17.094,0.4286,0.2829,0.2686,2.543,1.39,-2.517,0.004548,0.607,0.754,0.0005721,81.621,4.02,4.11,0.000265,2.443e-05,
random_5759.jpg,1034,1.522,8.622,9.564,17.522,3.361,7.279,62.807,17.24,11.553,13.127,21.489,12.628,0.001316,0.9149,0.2566,24.651,19.142,29.345,8.622,7.79,15.571,0.08862,0.2072,0.101,47.349,9.719,23.343,0.5261,0.2319,0.2317,2.486,1.488,-1.58,0.006846,0.1921,0.4042,0.0008491,88.172,4.402,4.377,0.0009514,1.137e-05,
random_5763.jpg,985,1.391,29.284,14.501,180.938,17.612,9.682,141.475,133.808,168.648,56.599,11.811,-17.8653,0.7379,0.3256,0.6631,78.96,76.067,60.693,29.284,11.14,14.983,0.133,0.3073,0.2386,20.621,8.868,16.71,0.5154,0.5316,0.5532,2.645,1.366,-3.754,0.04048,0.7111,0.8556,0.0003065,97.585,4.483,4.549,0.0002157,1.023e-05,
random_5798.jpg,1269,1.234,20.702,14.664,88.698,20.999,9.747,197.869,199.089,185.135,79.275,-2.613,6.971,0.1725,0.1397,0.8001,53.554,53.606,58.385,20.702,5.44,9.823,0.1486,0.1642,0.2049,2.478,9.609,8.989,0.6186,0.3644,0.3509,2.868,1.864,-0.908,0.01895,0.5217,0.8068,0.0002606,93.312,3.976,4.27,0.0001129,1.179e-05,
random_5888.jpg,1064,1.413,32.205,11.242,61.629,9.978,6.308,61.537,58.487,91.068,24.695,9.524,-18.4317,0.6854,0.5921,0.3575,80.241,80.742,80.021,32.205,4.09,5.464,0.044,0.3334,0.3137,66.558,56.119,41.648,0.4091,0.3032,0.3091,2.667,1.453,-2.116,0.001663,0.5013,0.7879,0.0003086,73.295,4.51,4.528,0.0002776,1.42e-05,
